22	AdYapper Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AdYapper Inc	Chicago, IL 60654	Midwest	www.adyapper.com		$1,000,000	3	Early Stage	Software	It tracks display and mobile ads, generating detailed verification data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
23	AE Mobile Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AE Mobile Inc	Boston, MA 02132	New England	www.ae-mobile.com		$4,000,000	1	Early Stage	Software	AE Mobile Inc is a United States-based mobile games company.	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
24	Aegle LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aegle LLC	Baltimore, MD 21231	DC/Metroplex	www.aegle.co		$25,000	1	Startup/Seed	Software	Aegle LLC develops wearable biometric devices.	DreamIt Ventures	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=DreamIt Ventures&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
25	Aerospike Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aerospike Inc	Mountain View, CA 94043	Silicon Valley	www.aerospike.com		$20,000,000	3	Expansion	Software	Aerospike, Inc. operates as a database technology company.	Alsop Louie Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Alsop Louie Partners LP&Drill=2014-2	Columbus Nova Technology Partner	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Columbus Nova Technology Partner&Drill=2014-2	New Enterprise Associates, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=New Enterprise Associates, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
26	Aerpio Therapeutics Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Aerpio Therapeutics Inc	Cincinnati, OH 45242	Midwest	www.aerpio.com		$22,000,100	5	Early Stage	Biotechnology	Aerpio Therapeutics, Inc. is a clinical-stage biotechnology company.	Athenian Venture Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Athenian Venture Partners&Drill=2014-2	CincyTech	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=CincyTech&Drill=2014-2	Kearny Venture Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Kearny Venture Partners LP&Drill=2014-2	Novartis Venture Funds	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Novartis Venture Funds&Drill=2014-2	OrbiMed Advisors LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=OrbiMed Advisors LLC&Drill=2014-2	Triathlon Medical Ventures LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Triathlon Medical Ventures LLC&Drill=2014-2	Venture Investors L L C	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Venture Investors L L C&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data
27	AFFINIMARK TECHNOLOGIES INC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AFFINIMARK TECHNOLOGIES INC	New Haven, CT 06511	NY Metro	www.affinimark.com		$425,000	3	Early Stage	Medical Devices and Equipment	Develops proprietary medical diagnostic products.	Connecticut Innovations Inc	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Connecticut Innovations Inc&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
28	AgilOne Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AgilOne Inc	Mountain View, CA 94043	Silicon Valley	www.agilone.com		$25,000,000	3	Later Stage	Software	AgilOne Inc is a cloud-based predictive marketing company.	Four Rivers Partners LP	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Four Rivers Partners LP&Drill=2014-2	Mayfield Fund	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Mayfield Fund&Drill=2014-2	Next World Capital LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Next World Capital LLC&Drill=2014-2	Sequoia Capital	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Sequoia Capital&Drill=2014-2	Tenaya Capital, Inc.	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Tenaya Capital, Inc.&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
29	AgLocal LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AgLocal LLC	Overland Park, KS 66204	South Central	www.aglocal.com		$1,300,000	2	Early Stage	Retailing/Distribution	Offers a marketplace for meat, connecting animal farmers to buyers.	Andreessen Horowitz LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Andreessen Horowitz LLC&Drill=2014-2	Chicago Venture Partners L P	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Chicago Venture Partners L P&Drill=2014-2	OPENAIR Equity Partners	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=OPENAIR Equity Partners&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
30	AirBnB Inc	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=AirBnB Inc	San Francisco, CA 94103	Silicon Valley	www.airbnb.com		$475,000	8	Expansion	Consumer Products and Services	Airbnb, Inc. operates as a community marketplace.	Andreessen Horowitz LLC	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Andreessen Horowitz LLC&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
31	Ajungo Holdings LLC	https://www.pwcmoneytree.com/SingleEntry/singleComp?compName=Ajungo Holdings LLC	Berwyn, PA 19312	Philadelphia Metro	www.ajungo.com		$200,000	1	Early Stage	IT Services	Ajungo Holdings LLC operates a social travel Website.	Ben Franklin Technology Partners Southeastern PA	https://www.pwcmoneytree.com/SingleEntry/singleFirm?firmName=Ben Franklin Technology Partners Southeastern PA&Drill=2014-2	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
