Mobile Name	url	url	wallpapers	ringtones	size
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5387/acer/acer-allegro/	http://www.zedge.net/wallpapers/5387/acer-allegro-wallpapers/	http://www.zedge.net/ringtones/5387/acer-allegro-ringtones/	116 x 59 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5254/acer/acer-liquid-express-e320/	http://www.zedge.net/wallpapers/5254/acer-liquid-express-e320-wallpapers/	http://www.zedge.net/ringtones/5254/acer-liquid-express-e320-ringtones/	115 x 61 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5022/acer/acer-a101-iconia-tab/	http://www.zedge.net/wallpapers/5022/acer-a101-iconia-tab-wallpapers/	http://www.zedge.net/ringtones/5022/acer-a101-iconia-tab-ringtones/	195 x 117 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5021/acer/acer-betouch-e210/	http://www.zedge.net/wallpapers/5021/acer-betouch-e210-wallpapers/	http://www.zedge.net/ringtones/5021/acer-betouch-e210-ringtones/	115 x 63 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-5005/acer/acer-iconia-smart/	http://www.zedge.net/wallpapers/5005/acer-iconia-smart-wallpapers/	http://www.zedge.net/ringtones/5005/acer-iconia-smart-ringtones/	141 x 64 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4878/acer/acer-iconia-tab-a100/	http://www.zedge.net/wallpapers/4878/acer-iconia-tab-a100-wallpapers/	http://www.zedge.net/ringtones/4878/acer-iconia-tab-a100-ringtones/	195 x 117 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4800/acer/acer-liquidmini-e310/	http://www.zedge.net/wallpapers/4800/acer-liquidmini-e310-wallpapers/	http://www.zedge.net/ringtones/4800/acer-liquidmini-e310-ringtones/	110 x 57 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4720/acer/acer-betouch-e140/	http://www.zedge.net/wallpapers/4720/acer-betouch-e140-wallpapers/	http://www.zedge.net/ringtones/4720/acer-betouch-e140-ringtones/	104 x 55 x 12 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4618/acer/acer-liquid-metal/	http://www.zedge.net/wallpapers/4618/acer-liquid-metal-wallpapers/	http://www.zedge.net/ringtones/4618/acer-liquid-metal-ringtones/	115 x 63 x 13 mm
Acer	http://www.zedge.net/phone-index/76/acer/	http://www.zedge.net/phone-index/76-4597/acer/acer-betouch-t500/	http://www.zedge.net/wallpapers/4597/acer-betouch-t500-wallpapers/	http://www.zedge.net/ringtones/4597/acer-betouch-t500-ringtones/	118 x 58 x 13 mm
